--- DETAILED CP DISTRIBUTIONS (CAPTURED ANGLES) ---
Case_Name,Alpha_deg,Panel_XC,Cp_Solid,Cp_Porous,Leakage_Velocity
Radius 2.0mm,-5.0,0.004091,0.929848,0.907343,0.000000
Radius 2.0mm,-5.0,0.002937,0.966955,0.951615,0.000000
Radius 2.0mm,-5.0,0.001974,0.991173,0.982803,0.000000
Radius 2.0mm,-5.0,0.001204,0.999995,0.998503,0.000000
Radius 2.0mm,-5.0,0.000626,0.991504,0.996830,0.000000
Radius 2.0mm,-5.0,0.000241,0.964636,0.976711,0.000000
Radius 2.0mm,-5.0,0.000048,0.919308,0.938041,0.000000
Radius 2.0mm,-5.0,0.000048,0.856356,0.881645,0.000000
Radius 2.0mm,-5.0,0.000241,0.776746,0.808535,0.000000
Radius 2.0mm,-5.0,0.000626,0.683055,0.721227,0.000000
Radius 2.0mm,-5.0,0.001204,0.578681,0.623085,0.000000
Radius 2.0mm,-5.0,0.001974,0.467481,0.517967,0.000000
Radius 2.0mm,-5.0,0.002937,0.353372,0.409853,0.000000
Radius 2.0mm,-5.0,0.004091,0.239957,0.302484,0.000000
Radius 2.0mm,-5.0,0.005436,0.130260,0.199130,0.000000
Radius 2.0mm,-5.0,0.006971,0.026578,0.102504,0.000000
Radius 2.0mm,-5.0,0.008697,-0.069531,0.014889,0.000000
Radius 2.0mm,-5.0,0.010612,-0.157183,-0.061431,0.000000
Radius 2.0mm,-5.0,0.012716,-0.236047,-0.122922,0.000000
Radius 2.0mm,-5.0,0.015008,-0.306208,-0.159948,0.000000
Radius 2.0mm,-5.0,0.017486,-0.368043,-0.117526,0.000000
Radius 2.0mm,-5.0,0.020151,-0.422109,-0.363508,1.420582
Radius 2.0mm,-5.0,0.023001,-0.469060,-0.615501,0.000000
Radius 2.0mm,-5.0,0.026034,-0.509584,-0.540056,0.000000
Radius 2.0mm,-5.0,0.029251,-0.544362,-0.537697,0.000000
Radius 2.0mm,-5.0,0.032648,-0.574042,-0.545463,0.000000
Radius 2.0mm,-5.0,0.036226,-0.599220,-0.552260,0.000000
Radius 2.0mm,-5.0,0.039983,-0.620439,-0.552341,0.000000
Radius 2.0mm,-5.0,0.043917,-0.638183,-0.535586,0.000000
Radius 2.0mm,-5.0,0.048027,-0.652880,-0.448417,0.000000
Radius 2.0mm,-5.0,0.052311,-0.664905,-0.644681,1.226249
Radius 2.0mm,-5.0,0.056768,-0.674587,-0.843941,0.000000
Radius 2.0mm,-5.0,0.061396,-0.682209,-0.743236,0.000000
Radius 2.0mm,-5.0,0.066192,-0.688021,-0.715027,0.000000
