--- GLOBAL RESULTS ---
Metric,Solid_Baseline,Porous_Result,Change_Percent
CL (Lift Coeff),0.275966,0.275872,-0.03%
CD (Drag Coeff),0.038353,0.038357,0.01%

--- PANEL DISTRIBUTION DATA ---
Panel_ID,XC,YC,Nx,Ny,Panel_Length,Cp_Solid,Cp_Porous,Cp_Difference,V_leakage
97,0.331563,0.089670,0.020407,0.999792,0.009245,-0.498384,-0.497857,0.000527,0.000000
98,0.322353,0.089832,0.014811,0.999890,0.009178,-0.508409,-0.507880,0.000528,0.000000
99,0.313212,0.089941,0.009044,0.999959,0.009107,-0.518449,-0.517919,0.000530,0.000000
100,0.304142,0.089997,0.003101,0.999995,0.009033,-0.528496,-0.527965,0.000532,0.000000
101,0.295148,0.089997,-0.003021,0.999995,0.008955,-0.538543,-0.538009,0.000534,0.000000
102,0.286233,0.089942,-0.009328,0.999956,0.008875,-0.548580,-0.548043,0.000537,0.000000
103,0.277400,0.089831,-0.015825,0.999875,0.008792,-0.558597,-0.558058,0.000540,0.000000
104,0.268653,0.089664,-0.022517,0.999746,0.008705,-0.568586,-0.568043,0.000543,0.000000
105,0.259996,0.089439,-0.029410,0.999567,0.008616,-0.578535,-0.577989,0.000546,0.000000
106,0.251430,0.089157,-0.036510,0.999333,0.008524,-0.588434,-0.587884,0.000550,0.000000
107,0.242961,0.088816,-0.043822,0.999039,0.008429,-0.598271,-0.597716,0.000554,0.000000
108,0.234591,0.088418,-0.051353,0.998681,0.008331,-0.608033,-0.607474,0.000559,0.000000
109,0.226323,0.087961,-0.059110,0.998251,0.008230,-0.617708,-0.617145,0.000563,0.000000
110,0.218160,0.087445,-0.067101,0.997746,0.008127,-0.627283,-0.626714,0.000568,0.000000
111,0.210107,0.086870,-0.075332,0.997159,0.008021,-0.636742,-0.636168,0.000574,0.000000
112,0.202165,0.086236,-0.083812,0.996482,0.007913,-0.646070,-0.645490,0.000579,0.000000
113,0.194338,0.085544,-0.092551,0.995708,0.007802,-0.655250,-0.654665,0.000585,0.000000
114,0.186628,0.084792,-0.101557,0.994830,0.007689,-0.664265,-0.663674,0.000591,0.000000
115,0.179040,0.083982,-0.110841,0.993838,0.007574,-0.673096,-0.672499,0.000597,0.000000
116,0.171575,0.083113,-0.120415,0.992724,0.007456,-0.681722,-0.681119,0.000603,0.000000
117,0.164237,0.082186,-0.130290,0.991476,0.007337,-0.690121,-0.689512,0.000610,0.000000
118,0.157028,0.081201,-0.140479,0.990084,0.007215,-0.698269,-0.697653,0.000616,0.000000
119,0.149951,0.080159,-0.150998,0.988534,0.007091,-0.706138,-0.705515,0.000623,0.000000
120,0.143010,0.079060,-0.161862,0.986813,0.006965,-0.713700,-0.713071,0.000629,0.000000
121,0.136206,0.077905,-0.173087,0.984907,0.006838,-0.720922,-0.720286,0.000636,0.000000
122,0.129542,0.076694,-0.184693,0.982796,0.006708,-0.727768,-0.727125,0.000643,0.000000
123,0.123021,0.075427,-0.196699,0.980464,0.006577,-0.734196,-0.733547,0.000650,0.000000
124,0.116646,0.074106,-0.209129,0.977888,0.006445,-0.740162,-0.739505,0.000657,0.000000
125,0.110418,0.072732,-0.222005,0.975045,0.006311,-0.745613,-0.744949,0.000663,0.000000
126,0.104341,0.071305,-0.235355,0.971909,0.006175,-0.750490,-0.749820,0.000670,0.000000
127,0.098416,0.069826,-0.249208,0.968450,0.006039,-0.754726,-0.754049,0.000677,0.000000
128,0.092645,0.068296,-0.263594,0.964634,0.005901,-0.758244,-0.757560,0.000684,0.000000
129,0.087032,0.066715,-0.278547,0.960422,0.005762,-0.760954,-0.760264,0.000690,0.000000
130,0.081578,0.065086,-0.294106,0.955773,0.005622,-0.762756,-0.762058,0.000697,0.000000
131,0.076286,0.063409,-0.310309,0.950636,0.005482,-0.763529,-0.762825,0.000704,0.000000
132,0.071156,0.061684,-0.327199,0.944956,0.005341,-0.763138,-0.762426,0.000712,0.000000
133,0.066192,0.059914,-0.344823,0.938668,0.005200,-0.761422,-0.760703,0.000720,0.000000
134,0.061396,0.058099,-0.363229,0.931700,0.005058,-0.758198,-0.757470,0.000728,0.000000
135,0.056768,0.056240,-0.382470,0.923968,0.004916,-0.753249,-0.752512,0.000737,0.000000
136,0.052311,0.054339,-0.402600,0.915376,0.004775,-0.746326,-0.745579,0.000746,0.000000
137,0.048027,0.052396,-0.423675,0.905814,0.004634,-0.737139,-0.736382,0.000757,0.000000
138,0.043917,0.050413,-0.445752,0.895157,0.004494,-0.725352,-0.724584,0.000769,0.000000
139,0.039983,0.048390,-0.468886,0.883259,0.004354,-0.710578,-0.709797,0.000781,0.000000
140,0.036226,0.046330,-0.493130,0.869956,0.004216,-0.692372,-0.691577,0.000796,0.000000
141,0.032648,0.044233,-0.518532,0.855059,0.004079,-0.670226,-0.669415,0.000811,0.000000
142,0.029251,0.042100,-0.545127,0.838353,0.003945,-0.643565,-0.642737,0.000828,0.000000
143,0.026034,0.039932,-0.572938,0.819599,0.003813,-0.611749,-0.610902,0.000846,0.000000
144,0.023001,0.037731,-0.601964,0.798523,0.003684,-0.574074,-0.573208,0.000866,0.000000
145,0.020151,0.035497,-0.632173,0.774827,0.003559,-0.529789,-0.528902,0.000886,0.000000
146,0.017486,0.033232,-0.663491,0.748184,0.003438,-0.478114,-0.477207,0.000907,0.000000
147,0.015008,0.030936,-0.695790,0.718245,0.003321,-0.418286,-0.417359,0.000927,0.000000
148,0.012716,0.028611,-0.728872,0.684650,0.003210,-0.349615,-0.348668,0.000947,0.000000
149,0.010612,0.026257,-0.762454,0.647042,0.003106,-0.271570,-0.270606,0.000964,0.000000
150,0.008697,0.023875,-0.796157,0.605090,0.003009,-0.183890,-0.182913,0.000977,0.000000
