# AoA_deg=-5.0
panel_id,x0,y0,x1,y1,x_mid,y_mid,s,L,nx,ny,Cp_solid,Cp_porous,dCp_porous_minus_solid
10,0.9998903417374227,2.390653924319863e-05,0.999867314520835,2.892625764528006e-05,0.9998788281291289,2.6416398444239346e-05,0.00012401793579398075,2.356799263016781e-05,0.212988797172994,0.9770546413987302,0.5693501045556955,0.5739929081753469,0.004642803619651414
11,0.999867314520835,2.892625764528006e-05,0.99984209464165,3.44237837039768e-05,0.9998547045812425,3.167502067462843e-05,0.00014870798784729486,2.5812111476460478e-05,0.2129824235305293,0.9770560307715532,0.5605653677280067,0.5653324535518764,0.0047670858238697544
12,0.99984209464165,3.44237837039768e-05,0.9998146822104943,4.039904632483354e-05,0.9998283884260721,3.741141501440517e-05,0.00017564209713237026,2.8056107093690287e-05,0.21297547093411803,0.9770575462992908,0.5523591785643314,0.5572471143959964,0.0048879358316650245
13,0.9998146822104943,4.039904632483354e-05,0.9997850773476125,4.6851968240707584e-05,0.9997998797790534,4.362550728277056e-05,0.00020482013506456043,3.029996877069007e-05,0.21296793949557197,0.9770591879446252,0.5446502409177649,0.549656539891641,0.0050062989738760555
14,0.9997850773476125,4.6851968240707584e-05,0.9997532801828658,5.378246601429187e-05,0.9997691787652392,5.031721712749972e-05,0.00023624196234888243,3.254368579795391e-05,0.21295982933869212,0.9770609556665517,0.5373739493507252,0.5424968848317444,0.005122935481019164
15,0.9997532801828658,5.378246601429187e-05,0.9997192908557322,6.119045004102513e-05,0.999736285519299,5.7486458027658497e-05,0.0002699074289813996,3.4787247467080435e-05,0.21295114060816464,0.9770628494184401,0.5304780102766671,0.5357164827552108,0.005238472478543699
16,0.9997192908557322,6.119045004102513e-05,0.9996831095153054,6.907582455172727e-05,0.9997012001855188,6.51331372963762e-05,0.00030581637425046557,3.7030643071051375e-05,0.21294187345254373,0.9770648691517471,0.523919432665745,0.529272871782352,0.005353439116607017
17,0.9996831095153054,6.907582455172727e-05,0.9996447363202946,7.743848761564697e-05,0.9996639229177999,7.325715608368712e-05,0.000343968626737994,3.927386190400562e-05,0.21293202803330058,0.9770670148140432,0.5176623987045335,0.5231306898221295,0.005468291117596058
18,0.9996447363202946,7.743848761564697e-05,0.9996041714390234,8.627833114354666e-05,0.999624453879659,8.185840937959682e-05,0.0003843640043211144,4.1516893262235075e-05,0.2129216045156407,0.9770692863510168,0.5116767193249355,0.5172601477579402,0.0055834284330046335
19,0.9996041714390234,8.627833114354666e-05,0.9995614150494292,9.55952408912497e-05,0.9995827932442263,9.093678601739818e-05,0.00042700231417378264,4.375972644310141e-05,0.21291060308197682,0.9770716837035393,0.5059366898323294,0.5116358981042275,0.005699208271898071
20,0.9995614150494292,9.55952408912497e-05,0.9995164673390624,0.00010538909646298776,0.9995389411942458,0.00010049216867711873,0.0004718833527684325,4.600235074619838e-05,0.2128990239166727,0.9770742068109914,0.5004202261374076,0.50623618107432,0.005815954936912449
21,0.9995164673390624,0.00010538909646298776,0.9994693285050856,0.00011565977131563487,0.9994928979220741,0.00011052443388931131,0.0005190069058778738,4.824475547268427e-05,0.21288686722564626,0.9770768556069938,0.4951082020672789,0.5010421694766105,0.005933967409331609
22,0.9994693285050856,0.00011565977131563487,0.9994199987542729,0.00012640713276200477,0.9994446636296792,0.00012103345203881982,0.00056837274857698,5.048692992552793e-05,0.21287413321077514,0.9770796300249849,0.4899839335683108,0.4960374588842569,0.006053525315946051
23,0.9994199987542729,0.00012640713276200477,0.9993684783030088,0.00013763104197555968,0.9993942385286408,0.00013201908736878222,0.0006199806452446542,5.27288634098207e-05,0.21286082209510446,0.9770825299927312,0.48503277202187844,0.4912076657367884,0.006174893714909979
24,0.9993684783030088,0.00013763104197555968,0.9993147673772869,0.00014933135399453206,0.9993416228401478,0.00014348119798504588,0.0006738303495662215,5.497054523331374e-05,0.21284693410466043,0.9770855554362916,0.4802417798530615,0.4865401068613202,0.0062983270082587195
25,0.9993147673772869,0.00014933135399453206,0.99925886621271,0.00016150791772633343,0.9992868167949984,0.00015541963586043273,0.0007299216045352015,5.721196470464642e-05,0.21283246947840714,0.9770887062778502,0.4755994690595656,0.4820235412619658,0.006424072202400155
26,0.99925886621271,0.00016150791772633343,0.9992007750544876,0.00017416057595273787,0.9992298206335988,0.00016783424683953563,0.0007882541424558047,5.945311113655992e-05,0.21281742846631035,0.9770919824361404,0.47109558843106736,0.4776479601100063,0.006552371678938962
