panel_id,XB_start_m,YB_start_m,XB_end_m,YB_end_m,XC_m,YC_m,XC_over_c,YC_over_c,panel_length_m,tx,ty,nx,ny,Vt_m_s,Cp,normal_transpiration_m_s,is_pore1_panel,is_pore2_panel
57,0.9682749433740961,-0.006777366529671072,0.9671644712283061,-0.007009653405217786,0.9677197073012012,-0.006893509967444429,0.9677197073012012,-0.006893509967444429,0.001134506755875376,-0.9788149255517167,-0.20474701833527945,0.2047470183352794,-0.9788149255517167,-6.450722243433995,0.22908970890351998,0.0,0,0
58,0.9671644712283061,-0.007009653405217786,0.9660355562291054,-0.007245463274421138,0.9666000137287057,-0.007127558339819462,0.9666000137287057,-0.007127558339819462,0.0011532802650847278,-0.9788730748095388,-0.2044688323753011,0.2044688323753015,-0.9788730748095388,-6.473820545422821,0.22355897960750726,0.0,0,0
59,0.9660355562291054,-0.007245463274421138,0.9648882429441257,-0.007484771066214758,0.9654618995866155,-0.007365117170317948,0.9654618995866155,-0.007365117170317948,0.001172005116500842,-0.978931976342546,-0.20418664425979707,0.20418664425979702,-0.978931976342546,-6.497317048131189,0.21791262109358955,0.0,0,0
60,0.9648882429441257,-0.007484771066214758,0.9637225766673307,-0.0077275514133083745,0.9643054098057282,-0.007606161239761567,0.9643054098057282,-0.007606161239761567,0.0011906805473307486,-0.9789916190434996,-0.20390049004989466,0.20390049004989416,-0.9789916190434997,-6.521292339537764,0.21213012098540784,0.0,0,0
61,0.9637225766673307,-0.0077275514133083745,0.962538603417229,-0.0079737786578458,0.9631305900422799,-0.007850665035577086,0.9631305900422799,-0.007850665035577086,0.001209305797930804,-0.9790519917523159,-0.2036104060352101,0.2036104060352096,-0.979051991752316,-6.545850801296093,0.20618488677853597,0.0,0,0
62,0.962538603417229,-0.0079737786578458,0.9613363699350574,-0.008223426857072901,0.9619374866761432,-0.00809860275745935,0.9619374866761432,-0.00809860275745935,0.0012278801118316062,-0.9791130832619908,-0.20331642871444974,0.2033164287144497,-0.9791130832619908,-6.571129652779913,0.2000419171477008,0.0,0,0
63,0.9613363699350574,-0.008223426857072901,0.9601159236829352,-0.008476469789016472,0.9607261468089963,-0.008349948323044688,0.9607261468089963,-0.008349948323044688,0.0012464027357663551,-0.9791748823239369,-0.20301859477866652,0.20301859477866688,-0.9791748823239368,-6.597310477951059,0.19365480086804532,0.0,0,0
64,0.9601159236829352,-0.008476469789016472,0.9588773128419905,-0.008732880958166392,0.9594966182624629,-0.008604675373591431,0.9594966182624629,-0.008604675373591431,0.001264872919692135,-0.979237377653835,-0.20271694109185975,0.2027169410918597,-0.979237377653835,-6.624635173450731,0.1869615383769232,0.0,0,0
65,0.9588773128419905,-0.008732880958166392,0.9576205863104588,-0.008992633601160918,0.9582489495762246,-0.008862757279663656,0.9582489495762246,-0.008862757279663656,0.001283289916814771,-0.9793005579370916,-0.20241150467327979,0.20241150467327929,-0.9793005579370917,-6.653429526781351,0.17987834222763843,0.0,0,0
66,0.9576205863104588,-0.008992633601160918,0.9563457937017514,-0.009255700692470125,0.9569831900061051,-0.00912416714681552,0.9569831900061051,-0.00912416714681552,0.0013016529836115038,-0.9793644118345222,-0.20210232267844042,0.20210232267844036,-0.9793644118345222,-6.684139907175631,0.17228996262983365,0.0,0,0
67,0.9563457937017514,-0.009255700692470125,0.9550529853424978,-0.009522054950074695,0.9556993895221246,-0.00938887782127241,0.9556993895221246,-0.00938887782127241,0.0013199613798517292,-0.9794289279878978,-0.20178943238058134,0.20178943238058128,-0.9794289279878978,-6.717393182016751,0.16403384136192778,0.0,0,0
68,0.9550529853424978,-0.009522054950074695,0.9537422122705586,-0.009791668841136143,0.9543975988065282,-0.009656861895605419,0.9543975988065282,-0.009656861895605419,0.0013382143686175316,-0.9794940950255935,-0.20147287115141232,0.20147287115141183,-0.9794940950255936,-6.754100124999925,0.15487266770867159,0.0,0,0
69,0.9537422122705586,-0.009791668841136143,0.9524135262330098,-0.010064514587656757,0.9530778692517842,-0.00992809171439645,0.9530778692517842,-0.00992809171439645,0.0013564112163246917,-0.9795599015680141,-0.20115267644270257,0.20115267644270293,-0.979559901568014,-6.795646629966325,0.14444342361409102,0.0,0,0
70,0.9524135262330098,-0.010064514587656757,0.9510669796841014,-0.010340564172123286,0.9517402529585556,-0.010202539379890022,0.9517402529585556,-0.010202539379890022,0.0013745511927394072,-0.9796263362333034,-0.2008288857662531,0.20082888576625305,-0.9796263362333034,-6.844280357435358,0.1321538515398739,0.0,0,0
71,0.9510669796841014,-0.010340564172123286,0.9497026257831855,-0.010619789343133927,0.9503848027336435,-0.010480176757628606,0.9503848027336435,-0.010480176757628606,0.0013926335709978255,-0.979693387642712,-0.20050153667527557,0.20050153667527507,-0.9796933876427121,-6.903993745348973,0.11694462765741975,0.0,0,0
