eval_id,topology_pore1_side,topology_pore2_side,x1_frac,x2_frac,d1_m,d2_m,effective_hydraulic_diameter_m,CL,CD,CM,gain_percent,Q_m3_s,Rs_Pa_s_per_m3,dp_total_Pa,Re_equivalent,max_vn_m_s,max_vn_over_vinf,coupling_converged,coupling_iterations,objective_value
13605,lower,upper,0.9318708540904381,0.9552575452798173,0.01955871611341984,0.015604510056600109,0.011035284346574721,0.5342116220597002,0.00016146728270126365,-0.015242373869995707,5.78644456486348,-0.00021496726748432746,1688.2966838573182,0.36292852483165916,1687.961396554002,0.6740834926598289,0.09175025316758784,True,19,-0.04546385980973935
13774,lower,upper,0.9382474936333937,0.9654578298223084,0.018283447929552436,0.011800545811447873,0.00846869255542709,0.5342113051069463,0.0001822082542501241,-0.015437831183090722,5.786381800776086,-0.00019321341924465583,4771.131683610505,0.9218466662568972,1976.945157600373,0.817908158401293,0.11132638822684268,True,18,-0.04142813700710965
6710,lower,upper,0.8356912421135558,0.9507469934446242,0.017565431140723654,0.014686467451474438,0.00945588149375804,0.5341899278976159,0.00041093588870046854,-0.014560666911130882,5.782148611387461,-0.00026817712818368673,11184.312492657724,2.999376804989879,2457.4993816600595,0.8754939094140681,0.11916444878135929,True,18,-0.03362114941829948
13430,upper,upper,0.01023990207029718,0.9436399768876553,0.019659837364124834,0.01907259840617561,0.009139939612782966,0.5341876200389233,0.00030895290551965354,-0.013832863183182305,5.781691601177341,-0.0003594479511746862,107860.00381416646,38.770057384695974,3407.7395003926636,0.9330293420377707,0.1269956604440299,True,21,-0.03143715276065123
15748,lower,upper,0.913807908174581,0.9599866859009314,0.016368795875693745,0.014126836006598576,0.00875414947021901,0.5341727490865013,0.00023370358421816867,-0.01516499793103794,5.778746803424806,-0.00021924596696450341,6525.591020135229,1.4307095132244285,2170.1580188273297,0.7171824925929002,0.09761650593625587,True,18,-0.04275696817250702
12266,upper,upper,0.010242215406464583,0.9475550654716616,0.01952919973970632,0.018595547979362047,0.009040398323469515,0.5341696889829093,0.00032857554072414363,-0.01392239559445288,5.77814083106174,-0.000349161939305828,113207.83190770727,39.52786613350327,3346.6710978807723,0.8819672829110601,0.12004554684067208,True,22,-0.033017707600499685
9635,lower,upper,0.8418868578653846,0.9304288460447903,0.018591553598368348,0.019026775945143418,0.011242655296808374,0.5341649692816671,0.00032030115039795304,-0.014208244076429554,5.777206219396258,-0.0002997681764228652,4646.2711917158,1.3928042423067382,2310.4167952717976,0.8053642451852021,0.10961902226131919,True,16,-0.03685057657567375
11526,upper,upper,0.010217924837816028,0.9435881465706957,0.01866020716000257,0.019811700536590614,0.009155909206923708,0.5341605935414854,0.00035278164353737956,-0.013805636996663071,5.776339720097012,-0.0003615022013452334,107109.45935222843,38.72030534072837,3421.2370856629,0.9567288475573763,0.13022142647308735,True,21,-0.02961809656947227
7483,upper,upper,0.01021318275959443,0.9427494519008317,0.019709082297789657,0.019294024866455716,0.009132789334903389,0.5341588391519942,0.0002987193694231616,-0.013797844792052797,5.775992309784339,-0.0003613393649530026,108198.18535505525,39.09626358526293,3428.3530522054407,0.9127269115577812,0.12423227407314245,True,22,-0.03222453813644363
15091,lower,upper,0.9299843555983645,0.9587526980984553,0.01857425722979866,0.01465068461898661,0.010285715795302328,0.5341528146604603,0.00017642963428612934,-0.015255094901430585,5.774799319004331,-0.00021136631228797306,2425.9883853907177,0.51277221867349,1780.6351919792237,0.6815692786935887,0.09276915182218293,True,13,-0.04492156207073825
13041,upper,upper,0.01005984157101475,0.9448870298368207,0.019151878650388678,0.017888551850925645,0.009161983976489464,0.5341492684131369,0.00019464271046559095,-0.013841677255152611,5.774097078767704,-0.00035425811474759633,107061.9819274377,37.927575878755306,3350.456482426232,0.9307253600838999,0.12668206290030862,True,21,-0.033875124858140045
6126,lower,upper,0.8915619286122292,0.9525249865245393,0.018890411214014115,0.01605904942499136,0.009112748793282506,0.5341336808300938,0.0002718668172558003,-0.014913595711877906,5.771010371325569,-0.00024167094575161703,7334.914341030064,1.7726356858038343,2297.9932327510246,0.7376216400573068,0.1003985010078001,True,19,-0.040952020337740626
5727,lower,upper,0.7474387816361421,0.942723411370821,0.018271203433637084,0.014390003375783632,0.009514422616805466,0.5341191468356014,0.000576092271137002,-0.013965002297922389,5.7681322991549155,-0.00030785454754214556,18348.17051172706,5.648567731113872,2803.7341873627283,1.0325363225334656,0.14053966612261062,True,23,-0.023712408732292495
9233,lower,upper,0.9097629667792502,0.9506409761501624,0.019992644044882324,0.014206674773695402,0.010476738032738346,0.5341124478743866,0.00021799949208657632,-0.01499686193716046,5.766805747541448,-0.00023588949083047973,3076.705069861314,0.7257623923651408,1950.9952432155944,0.7700873477813384,0.10481744455912662,True,14,-0.041190922689440274
16034,lower,upper,0.9248509073186746,0.9559812255427993,0.019248951296692914,0.015406869172837893,0.010532856695166692,0.5341108811611912,0.0001813948765466214,-0.015177277941426665,5.766495501542002,-0.00021836015160436534,2375.034774239489,0.5186129533685744,1796.3911795129154,0.6847227581764282,0.0931983754184583,True,13,-0.044539179886533865
13732,lower,upper,0.9273611215416584,0.9568535380739134,0.018320842326926625,0.01507797210726157,0.010624633669642353,0.5341064129717616,0.00017603293966843292,-0.015217369386569984,5.76561069512096,-0.00021410376291165924,2180.1271504562965,0.4667734265385661,1746.1600087050122,0.6807389832704571,0.09265613938959001,True,12,-0.04481197695457395
10831,upper,upper,0.010061523235289527,0.9226327573301445,0.01985702086891722,0.01878888250772163,0.00957901810563595,0.5341058793158501,9.707817849285982e-05,-0.01324882035932385,5.7655050187201295,-0.00041150296085816116,87507.96917939537,36.009788416005904,3722.4225677051872,0.9994889907510952,0.13604155707445464,True,22,-0.03152809970933409
8320,upper,upper,0.011694813007918914,0.9420726279012572,0.018595407452843125,0.01842487995910981,0.009087243642653092,0.5340964587957071,0.0005931845489271295,-0.01384439665226841,5.763639534536091,-0.00036405864210950576,110057.85596961035,40.06751359777991,3471.4656703055157,0.9438421701770964,0.128467406496327,True,21,-0.025062587854174534
11635,lower,upper,0.919436958363822,0.9524420492250475,0.018165282187160466,0.013287412446960602,0.00944359658917903,0.534094971257974,0.0001964254594399445,-0.015103815451302446,5.763344967137263,-0.00022602544545122507,3954.189000883796,0.8937473303230945,2073.9276866390815,0.8277788429317763,0.11266989806571401,True,25,-0.04006224028781179
13114,lower,upper,0.9278601287454192,0.9569633087503254,0.01823493255410063,0.014462122615564298,0.01061723455370931,0.534094043591016,0.00017597474147448833,-0.015214910243839794,5.763161267297745,-0.00021401287572238005,2181.6476856919826,0.46690069502801634,1746.635139234059,0.6804500091062696,0.09261680679502005,True,12,-0.04479749031861652
