Case_Name,Alpha_deg,Panel_XC,Cp_Solid,Cp_Porous,Leakage_Velocity
Large Pores,-5.0,0.087032,-0.079669,-0.189675,0.000000
Large Pores,-5.0,0.081578,-0.061879,-0.172531,0.000000
Large Pores,-5.0,0.076286,-0.042573,-0.153902,0.000000
Large Pores,-5.0,0.071156,-0.021635,-0.133669,0.000000
Large Pores,-5.0,0.066192,0.001061,-0.111697,0.000000
Large Pores,-5.0,0.061396,0.025652,-0.087842,0.000000
Large Pores,-5.0,0.056768,0.052283,-0.061943,0.000000
Large Pores,-5.0,0.052311,0.081110,-0.033829,0.000000
Large Pores,-5.0,0.048027,0.112297,-0.003314,0.000000
Large Pores,-5.0,0.043917,0.146012,0.029799,0.000000
Large Pores,-5.0,0.039983,0.182426,0.065714,0.000000
Large Pores,-5.0,0.036226,0.221701,0.104640,0.000000
Large Pores,-5.0,0.032648,0.263987,0.146780,0.000000
Large Pores,-5.0,0.029251,0.309404,0.192322,0.000000
Large Pores,-5.0,0.026034,0.358025,0.241422,0.000000
Large Pores,-5.0,0.023001,0.409850,0.294179,0.000000
Large Pores,-5.0,0.020151,0.464772,0.350610,0.000000
Large Pores,-5.0,0.017486,0.522540,0.410603,0.000000
Large Pores,-5.0,0.015008,0.582703,0.473870,0.000000
Large Pores,-5.0,0.012716,0.644555,0.539892,0.000000
Large Pores,-5.0,0.010612,0.707074,0.607848,0.000000
Large Pores,-5.0,0.008697,0.768866,0.676554,0.000000
Large Pores,-5.0,0.006971,0.828127,0.744411,0.000000
Large Pores,-5.0,0.005436,0.882644,0.809384,0.000000
Large Pores,-5.0,0.004091,0.929848,0.869036,0.000000
Large Pores,-5.0,0.002937,0.966955,0.920632,0.000000
Large Pores,-5.0,0.001974,0.991173,0.961330,0.000000
Large Pores,-5.0,0.001204,0.999995,0.988445,0.000000
Large Pores,-5.0,0.000626,0.991504,0.999765,0.000000
Large Pores,-5.0,0.000241,0.964636,0.993828,0.000000
Large Pores,-5.0,0.000048,0.919308,0.970109,0.000000
Large Pores,-5.0,0.000048,0.856356,0.929036,0.000000
Large Pores,-5.0,0.000241,0.776746,0.871347,0.000000
Large Pores,-5.0,0.000626,0.683055,0.799050,0.000000
Large Pores,-5.0,0.001204,0.578681,0.715016,0.000000
Large Pores,-5.0,0.001974,0.467481,0.622675,0.000000
Large Pores,-5.0,0.002937,0.353372,0.525641,0.000000
Large Pores,-5.0,0.004091,0.239957,0.427362,0.000000
Large Pores,-5.0,0.005436,0.130260,0.330837,0.000000
Large Pores,-5.0,0.006971,0.026578,0.238456,0.000000
Large Pores,-5.0,0.008697,-0.069531,0.151944,0.000000
Large Pores,-5.0,0.010612,-0.157183,0.072386,0.000000
Large Pores,-5.0,0.012716,-0.236047,0.000273,0.000000
Large Pores,-5.0,0.015008,-0.306208,-0.064620,0.000000
Large Pores,-5.0,0.017486,-0.368043,-0.125127,0.000000
Large Pores,-5.0,0.020151,-0.422109,-0.164550,-0.070467
Large Pores,-5.0,0.023001,-0.469060,-0.188708,-0.030080
Large Pores,-5.0,0.026034,-0.509584,-0.218057,0.011757
Large Pores,-5.0,0.029251,-0.544362,-0.247377,0.051548
Large Pores,-5.0,0.032648,-0.574042,-0.275328,0.088556
Large Pores,-5.0,0.036226,-0.599220,-0.301450,0.122661
Large Pores,-5.0,0.039983,-0.620439,-0.325608,0.153957
Large Pores,-5.0,0.043917,-0.638183,-0.347810,0.182629
Large Pores,-5.0,0.048027,-0.652880,-0.368135,0.208891
Large Pores,-5.0,0.052311,-0.664905,-0.386696,0.232971
Large Pores,-5.0,0.056768,-0.674587,-0.403619,0.255087
Large Pores,-5.0,0.061396,-0.682209,-0.419037,0.275450
Large Pores,-5.0,0.066192,-0.688021,-0.433080,0.294255
Large Pores,-5.0,0.071156,-0.692235,-0.445874,0.311686
Large Pores,-5.0,0.076286,-0.695037,-0.457542,0.327911
Large Pores,-5.0,0.081578,-0.696588,-0.468200,0.343090
Large Pores,-5.0,0.087032,-0.697028,-0.477960,0.357371
Large Pores,-5.0,0.092645,-0.696477,-0.486931,0.370896
Large Pores,-5.0,0.098416,-0.695040,-0.495222,0.383804
Large Pores,-5.0,0.104341,-0.692809,-0.502940,0.396233
Large Pores,-5.0,0.110418,-0.689864,-0.510198,0.408325
Large Pores,-5.0,0.116646,-0.686275,-0.517117,0.420231
Large Pores,-5.0,0.123021,-0.682105,-0.523834,0.432122
Large Pores,-5.0,0.129542,-0.677408,-0.530508,0.444196
Large Pores,-5.0,0.136206,-0.672233,-0.537337,0.456699
Large Pores,-5.0,0.143010,-0.666623,-0.544579,0.469950
Large Pores,-5.0,0.149951,-0.660616,-0.552596,0.484394
Large Pores,-5.0,0.157028,-0.654249,-0.561926,0.500689
Large Pores,-5.0,0.164237,-0.647553,-0.573451,0.519895
Large Pores,-5.0,0.171575,-0.640556,-0.588783,0.543918
Large Pores,-5.0,0.179040,-0.633284,-0.611387,0.576771
Large Pores,-5.0,0.186628,-0.625763,-0.651073,0.629545
Large Pores,-5.0,0.194338,-0.618014,-0.785431,0.776448
Large Pores,-5.0,0.202165,-0.610059,-0.812315,0.000000
Large Pores,-5.0,0.210107,-0.601915,-0.699846,0.000000
Large Pores,-5.0,0.218160,-0.593603,-0.649927,0.000000
Large Pores,-5.0,0.226323,-0.585137,-0.616902,0.000000
