trial,objective,mean_eff,mean_cd_delta,converged_all,area_mult,r_spine,r_branch_in,r_branch_out
21.0,0.4178030858367632,4.582289404858425,4.624534759422455e-05,0.0,154.85175187404383,0.007787797199224389,0.0017261982512779084,0.0035340199832724
22.0,0.18710346181660883,4.8141424874859595,0.0006229746512841731,0.0,10.422839835972262,0.00446002046637858,0.0008260632698031042,0.007067363635855812
23.0,0.3460948994743523,4.654353140078759,0.00022401977655553407,0.0,14.408688800380743,0.0068368999035986365,0.0012247915511591973,0.005943795027197344
24.0,-0.11921477854766352,5.122033772753304,0.0014094971028202734,0.0,1.1545578653166446,0.005360778217923055,0.0008172844583002318,0.0024871934627103153
25.0,0.41297690430816825,4.587136866883916,5.6885596042064814e-05,0.0,248.73875163392992,0.007964552837238683,0.001418779223897779,0.004335549154124257
26.0,0.34357674061135285,4.656887818718963,0.0002322796651579584,0.0,145.22929925395647,0.00515686128594408,0.0017761969748076119,0.0054117803005889024
27.0,0.018822075738824846,4.983287692097567,0.0010548839181957297,0.0,7.592818547744332,0.006571710275336348,0.00226373390383411,0.007397783877204613
28.0,-0.1277287699986411,5.1305667217437,0.001418975872529607,0.0,2.367007204553805,0.011671440209141617,0.0007892571597227978,0.005957427678591905
29.0,0.16046580334352953,4.840918076688734,0.0006919400161316905,0.0,101.80596829011282,0.003868032745357996,0.0014005727450998092,0.006494628847350593
30.0,0.07810941337257271,4.923809742910442,0.0009595781415073201,0.0,1.0848044730861066,0.007647540281539808,0.0023526014430903163,0.004271496768884965
31.0,0.3995191693085263,4.600661989536827,9.057942267679438e-05,0.0,62.80829835646414,0.004379963570401607,0.0010318633396961582,0.0034701269107441455
32.0,0.262476673175072,4.738501964421814,0.0004893187984428988,0.0,2.7823418241503184,0.005170109310093356,0.0029169441008414783,0.004644102971193017
33.0,-0.08037621796386014,5.083665193958198,0.0016444879971688406,0.0,6.956484757249692,0.004662556296212919,0.0029328201393673072,0.0038843977742752927
34.0,0.27302978895747343,4.727786159414385,0.0004079741859291351,0.0,268.26046646261494,0.006539214027836943,0.0016138895795759472,0.007269295600718875
35.0,-0.15581212614251383,5.15880241494304,0.0014951444002628798,0.0,69.17114409150456,0.007157112379928132,0.0014156931769297608,0.0070866816644974675
36.0,0.11538611025584757,4.88622619508713,0.0008061526714888759,0.0,10.46399268445029,0.01150023197514397,0.0008619286301975095,0.0038071944308353477
37.0,0.3455910157660562,4.65485918736394,0.00022510156499833817,0.0,19.35981497920475,0.011958365414028848,0.0011097295397889631,0.00641217064493488
38.0,0.343103827057,4.657359673075005,0.00023175006600253492,0.0,47.39157997017844,0.00864726387043791,0.0018757323488141928,0.008066014182037557
39.0,0.3679584286849561,4.632391581913841,0.00017500529939846673,0.0,6.669485207689967,0.005558220329271494,0.0010381631040429174,0.0022503394443267382
