--- DETAILED CP DISTRIBUTIONS (CAPTURED ANGLES) ---
Case_Name,Alpha_deg,Panel_XC,Cp_Solid,Cp_Porous,Leakage_Velocity
Radius 2.0mm,-5.0,0.129542,-0.169656,-0.179507,0.000000
Radius 2.0mm,-5.0,0.123021,-0.159949,-0.169875,0.000000
Radius 2.0mm,-5.0,0.116646,-0.149308,-0.159305,0.000000
Radius 2.0mm,-5.0,0.110418,-0.137669,-0.147735,0.000000
Radius 2.0mm,-5.0,0.104341,-0.124964,-0.135096,0.000000
Radius 2.0mm,-5.0,0.098416,-0.111118,-0.121312,0.000000
Radius 2.0mm,-5.0,0.092645,-0.096049,-0.106303,0.000000
Radius 2.0mm,-5.0,0.087032,-0.079669,-0.089978,0.000000
Radius 2.0mm,-5.0,0.081578,-0.061879,-0.072240,0.000000
Radius 2.0mm,-5.0,0.076286,-0.042573,-0.052983,0.000000
Radius 2.0mm,-5.0,0.071156,-0.021635,-0.032091,0.000000
Radius 2.0mm,-5.0,0.066192,0.001061,-0.009438,0.000000
Radius 2.0mm,-5.0,0.061396,0.025652,0.015112,0.000000
Radius 2.0mm,-5.0,0.056768,0.052283,0.041704,0.000000
Radius 2.0mm,-5.0,0.052311,0.081110,0.070496,0.000000
Radius 2.0mm,-5.0,0.048027,0.112297,0.101651,0.000000
Radius 2.0mm,-5.0,0.043917,0.146012,0.135339,0.000000
Radius 2.0mm,-5.0,0.039983,0.182426,0.171731,0.000000
Radius 2.0mm,-5.0,0.036226,0.221701,0.210994,0.000000
Radius 2.0mm,-5.0,0.032648,0.263987,0.253280,0.000000
Radius 2.0mm,-5.0,0.029251,0.309404,0.298716,0.000000
Radius 2.0mm,-5.0,0.026034,0.358025,0.347380,0.000000
Radius 2.0mm,-5.0,0.023001,0.409850,0.399282,0.000000
Radius 2.0mm,-5.0,0.020151,0.464772,0.454328,0.000000
Radius 2.0mm,-5.0,0.017486,0.522540,0.512280,0.000000
Radius 2.0mm,-5.0,0.015008,0.582703,0.572706,0.000000
Radius 2.0mm,-5.0,0.012716,0.644555,0.634919,0.000000
Radius 2.0mm,-5.0,0.010612,0.707074,0.697923,0.000000
Radius 2.0mm,-5.0,0.008697,0.768866,0.760350,0.000000
Radius 2.0mm,-5.0,0.006971,0.828127,0.820423,0.000000
Radius 2.0mm,-5.0,0.005436,0.882644,0.875957,0.000000
Radius 2.0mm,-5.0,0.004091,0.929848,0.924410,0.000000
Radius 2.0mm,-5.0,0.002937,0.966955,0.963012,0.000000
Radius 2.0mm,-5.0,0.001974,0.991173,0.988983,0.000000
Radius 2.0mm,-5.0,0.001204,0.999995,0.999811,0.000000
Radius 2.0mm,-5.0,0.000626,0.991504,0.993564,0.000000
Radius 2.0mm,-5.0,0.000241,0.964636,0.969149,0.000000
Radius 2.0mm,-5.0,0.000048,0.919308,0.926451,0.000000
Radius 2.0mm,-5.0,0.000048,0.856356,0.866272,0.000000
